제목,내용
연륜을 찾아서,"얼굴을 내밀었다
온종일
산을 넘고 강을 건너면서
구름을 헤치고 하늘을 다스릴 때의
그 기백은 어디로 갔는지
저녁해의 낯빛이 핼쑥합니다
한평생
눈으로 보고, 귀로 들은 것들
머리로 다 먹어 넉넉한 줄 알았는데
막상 늙음에 와보니 줄 것이 없네요
아무도 손 벌리는 사람 없습니다
하기야, 그릇도 차면
비워야 또 채울 수 있는데
비우면 죽는 줄만 알고 차곡차곡
채우기만 했으니
이제라도
나이를 싱크대에 넣고 빡빡 씻어
아무나 쓰기에 만만한 연륜이 될 때까지
빈 그릇을 만드리라"
적토,"지난 봄, 장마에
떠내려온 토사가
빨간 꽃, 흰 꽃, 노란 꽃,
머리에 면류관을 쓰고
승리의 깃발을 펄럭입니다
산비탈 흙
힘없다고, 파헤치고
만만하다고, 사람들이 함부로 대했건만
흙은 원수를 은혜로 갚았습니다
말씀으로 안 되니까
친히, 몸으로 보여주시는 창조주의 긍휼입니다
올가을에는 가난한 염소들의
넉넉한 초장이 되겠습니다
오, 하나님 아버지
우리가 욕심의 종이 되어 절망하기 전에
인류에게 회개를 강권하소서"
마음,"밤을 지새우며
괴로워하고 즐거워하고 슬픈 변화
깊숙한 밑 바닥의 작은 물결에도
바위를 깎는 쓰린 아픔이 있고
어떤 고요함에는
온 세상이 봄날처럼
바람도 잦아드는 아늑함의 변화
끝없는 마음의 깊은 어두운 속을
밝은 빛 비치어주기를
밤새워 꼬박 기도
말끔히 씻긴 새 태양으로
밝음의 변화를 기다려 본다"
비 오는 날의 수채화,"은빛 실처럼 내리는 빗줄기 잎맥 따라 흐르며
잠든 거리를 적신다.
숨죽인 7월의 첫날 아침
풀잎 끝에는 진주가 맺히고
빗소리만 조용히 시간을 걷는다.
짙은 구름이 부드러운 베일처럼 하늘을 덮고
흰 우산을 쓴 여인이 조용히 길을 걸을 때
발걸음 소리마다 작은 물결이 피어오르고
젖은 아스팔트 위로 그녀의 풍경이 흘러간다.
엷은 바람은 옷자락을 가볍게 끌어안고
젖은 머리카락 끝에서 빗물이 한숨처럼 떨어진다.
그녀의 숨소리를 스친 빗소리는
아무에게도 닿지 못한 연약한 속삭임 같다.
아파트 정원에는 수국이 소복이 피어 있고
꽃잎 위로 차오른 물기 속에서
연보랏빛 겹잎은 수줍게 미소지으며 흔들린다.
여전히 내리는 빗줄기는
더 맑고 다정하게 색을 칠한다.
아파트 창 너머 아이의 손끝이
빗방울 따라 움직인다.
세상을 처음 만지듯 창 위에 무지개를 그리고
엄마의 조용한 눈빛은
비의 음률에 녹아드는 사랑의 풍경이다.
오늘 아침은 단지 비가 내리는 날이 아니다.
한 점 고운 수채화 한 폭이
말없이 그려지고 있을 뿐이다."
취객,흔들며 간다
회랑,"점점 더 가까이 다가오는 질문들
휘감아 오는 긴장감
들숨 날숨
길게 짧게
쉼 없이 내달려야 하는 인생길
오늘의 사다리,
교량인 너는
본관과 별관을 잇는 뚜벅뚜벅 응급 여정
긴한 생각로이다."
반년 결산,"새 달력 위에 소망의 길을 그렸다.
새벽마다 마음을 다잡았고
시간은 변함없이 흘러갔다.
혹독한 겨울을 지나
복사꽃 피던 날에도 초조했고,
이별과 만남의 희비 속에서
비로소 마음의 무늬를 새겼다.
절반쯤 오른 인생의 산등성이에
잠시 멈춰 서서 되묻는다.
여기까지 온 것이 은혜였을까
아니면 그저 버틴 것일까.
예측할 수 없는 변수들과 마주하며
운명을 미분해보려 애썼지만
삶은 언제나 정답 없는
풀리지 않는 수수께끼였다.
그러나 오늘도 여전히
나를 붙잡아주는 손이 있다.
그 이름조차 담지 못할 위엄이
시간을 내게 선물해주었다."
모란꽃,"설레임도 하염없이 넘쳐나는 봄날
허구한 세월 넘나드는 삶의 언저리
화려하게 피어나 이내 시들어가는 꽃
오신 듯이 봄비 스쳐가버린 뜨락에
푸른 하늘을 향해 꽃잎 활짝 펼친 채
은은한 향기 정겹고 소중함을 간직한
덧없어도 늘 간직하고픈 아름다운 사랑"
여름의 추억,"그 시절 나는 태양을 향해 달려가는 파도였다.
웃음과 땀이 뒤섞인 날에는
시간마저 언제나 내 편인 줄 알았다.
사랑은 익지 않아도 뜨거웠고
서툰 고백일수록 오히려 더 진심이었다.
무모한 꿈을 바람에 실어 날렸지만
그 바람조차 나를 어디론가 데려다주었다.
밤하늘의 은하수는 미래처럼 흘렀고
그 미래는 언제나 나를 기다릴 거라 믿었다.
나는 늘 자신감에 넘쳤고
그래서 모든 것이 영원할 줄 알았다.
이제 나는 긴 노을 아래 서서
가끔은 태양을 정면으로 마주하던 때를 그리워한다.
그 시절 인생은 질문이 아니라
대답에 가까웠고
그 대답은 오직 지금이었다.
나의 여름은 점점 멀어지고
내 인생의 가을을 서글프게 배운다."
자문자답,"오늘 문득 내게 대답했네
태어난 모천을 떠나
굽이굽이 강물의 흐름을 거역할 수 없었던
기나긴 여정
흘러 흘러
오늘 여기 섰노라고
긍정도 부정도
그게 다
이름 석자 내걸린 나의 삶이었다고
나의 세월이었다고,"
별 하나에 담은 안녕,"한 걸음만 물러서서 바라보기로 해요
너에게서 나에게서 우리에게서
물러서서 바라보는 풍경은
고요하군요
그 복잡한 감정의 소용돌이조차
사랑스러워요
지금 우리에게 필요한 건
용서와 사랑뿐,
사랑뿐,"
산행,"가슴 여미는 향연 이어지는 자연 속
반짝이는 헷살마저 경이로운 계절
흘러가는 조각구름이 펼쳐진 인생사
물결치듯 밀려오는 세파에 찌든 삶
산기슭 바람결 산등성이 가득 담고서
하염없이 추억 달래보는 무명 꽃처럼
녹음 우거진 산자락 찾아나서는 산행길"
여름에 오신 예수,"해는 창끝처럼 뾰족했고
마을은 숨조차 내쉬지 못했다.
예수는 그 뜨거운 대지를 맨발로 디디며
굳은 심령마다 생명의 씨앗을 심으셨다.
벳세다 언덕에 불어온 손길
사람마다 들꽃처럼 피어 앉았을 때
그는 하늘을 쪼개듯 떡을 찢으셨고
광야보다 메마른 영혼 위에
한 조각 은혜가 이슬처럼 내려앉았다.
고라신의 정오에
돌보다 단단한 마음들이
가시 돋친 눈살로 그를 찔렀지만
예수는 여전히 사랑을 뿌리셨고
불모지에도 복음의 씨앗은 떨어졌다.
디베랴의 저녁 호숫가
물결은 붉은 노을을 쓸어 담고
그는 숯불 위에 물고기를 구우셨다.
넘어진 자들을 부르며
사랑은 다시 식탁을 차리셨다.
예수의 여름은 아직 끝나지 않았다.
그분의 사랑이 오늘도 내 곁에 머물고
지친 마음마다 은혜가 스며든다.
넘어진 이들을 다시 일으키며
생명은 이 여름에도 우리 안에 자란다."
망초 꽃,"달빛 담은 찻잔에
외로움은 기다림이 되어라
사랑의 믿음만 있다면
세월의 강물 위에
미움도 그리움이 되리라
들길 따라 떠도는 망초 꽃
행복의 믿음만 있다면
그대 눈물인들
사랑의 기쁨이 되지 못하랴"
길거리에서,"사람은 시간의 강물처럼 흐른다.
이름조차 허락받지 못한 하루가
아스팔트 위에 조용히 스며든다.
신발 밑창에 스치는 꿈들은
점점 희미해지고
욕망은 낡은 전단지처럼
발끝에서 흩날린다.
사람들은 저마다의 목적지를 향해
성급히 나아가지만
그 끝이 도착이 아닌
도피일 때가 더 많다.
신호등 앞에 멈춰 선 나는
오직 한 방향을 응시하며
내 안의 나에게 묻는다.
지금 너는 어디로 가고 있는가?
이름 없는 얼굴마다
침묵의 외침이 숨어 있고
멈출 수 없어서 멈추지 못한 채
우리는 시간의 택시에 몸을 싣고
익명 속을 질주한다.
오늘도 나는 길 위에서
살아가는 것이 아니라
살아진다는 감각 속에 머문다.
도시는 쉼 없이 움직이고
나는 그 흐름에 조용히 실려간다."
커피 한 잔의 위로,"구겨진 하루가 문틈을 비집고 들어 올 때
책상에 놓인 커피믹스 한잔이
말 없는 위로의 입맞춤이다.
서늘한 공기가 감정을 흔들고
잊힌 이름들이 마음을 두드릴 때
진한 커피 향에 잠긴 고요는
삶에 지친 나를 조심스레 품어준다.
혀끝을 맴도는 형언 불가의 커피 맛처럼
삶도 그렇게 견디는 것이라면
흔들림조차도 다정할 수 있으며
속절없는 순간도 나는 사랑 할 수 있다.
텅 빈 커피잔을 내려놓는 그 순간까지
나는 이 고요한 위로를 배웠다.
말보다 더 깊은 침묵의 언어로
오늘을 조용히 받아드린다."
오늘에 지친 그대여,"어제가 오늘이었고, 오늘 곧 내일이기에
아직 그 실체를 알 수 없는 내일도
오늘을 빼면, 결코 존재할 수 없기에
오늘을 극진히 사랑할 일이다.
눈뜨면 오늘이고
하루하루가 늘 지겹고 고루하다는 자여
일상에 지친 그대여
오늘에 지친 그대여
자족에 풍덩 빠져볼 일이다
긍정에 물씬 젖어볼 일이다."
아아 잊으랴!,"그해 그날 그 참혹한 비극을!
장마 빗줄기를 찢으며 쏟아진 화염에
아무도 잠들지 못한 새벽
민족의 숨결은 총구에 떨었고
계곡에 쓰러진 소년의 눈동자엔
고향의 굴뚝 연기조차 바람에 흩어졌다.
삼팔선 전역이 포성에 갈라지고
강 언덕 산등성마다 국군의 외침이 메아리쳤다
자신만 살려고 도망칠 수 없고
죽어도 이 땅에 묻혀야 했다.
핏빛 맹세는 산천을 적시며 깃발이 되었고
소년 소녀는 펜이 아니라 총칼을 들었다.
하늘은 탄식하고 땅은 피를 토하며
불 뿜는 총탄 앞에 핏물이 강물 되어 흐를 때
아들딸 불귀객 되어 고향 집을 맴돌았다.
거의 한 세기를 지나 다시 바라보는 이 강산
철조망 너머 형제의 얼굴은 여전히 낯설기만 하고
통일은 긴 숨을 고르며 침묵 속에 머물지만
그날의 희생은 시간 위에 꺼지지 않는 등불이다.
우리는 다짐하노라.
굳센 의지로 나라를 지키리라.
다시는 침략에 울지 않는 강국이 되리라.
한반도에 통일의 새벽이 오기까지
다시는 누구도 침략할 수 없는
굳건한 성벽의 조국이 되어야 하리라."
아침밥 당신은,"식구들 불러모으는
오붓한 밥상머리였는데
기분 전환을 위한
달달한 커피 예약권이었는데
그래그래 그랬었지
늘 고맙고 자상한 당신이셨지
출근 시간도 사라지고
아이들 웃음마저 멀어진 오늘날,
아내에게 불쑥
‘우리 부부에게 있어, 아침밥이란?’
하고 물었다
""그저 그냥
식후 복약을 위한 ‘작은 한 끼‘
그런 거 아닐까요?"""
장미와 가시,"그 붉음은 찬란하되 결코, 순수하지 않다.
향기는 유혹을 입고 바람에 흘러가며
침묵은 줄기마다 은밀한 송곳을 숨긴다.
빛의 반대편에 어둠이 자리를 깔고
아름다움은 가까이할 수 없는 방어가 된다.
손길은 그윽함을 좇다 이내 피를 묻히고
사랑은 처음부터 상처를 품은 노래였다.
꽃은 피는 순간부터 작별을 예고하고
가시는 피를 묻혀 존재를 증명한다.
장미꽃처럼 인간은 환상을 포개며
자신의 두 얼굴을 미덕이라 부른다.
인간은 꽃잎처럼 웃고
가시처럼 상대를 주시한다.
순수한 진심은 마침내 피멍으로 드러나고
손이 닿은 자리에 상처만 남는다.
매혹과 향기로 앞에서 유혹하지만
날 선 창으로 진심을 찌르는
장미도 인간도 이중성으로 피어난다."
여름밤,"시원한 그늘이 그리워지는 시절
불어오는 바람결 잎사귀를 스치는
문득 푸른 물결 넘치는 그리운 바다
밤하늘에 빛나는 별빛같은 추억 속
가녀린 달빛마저 스며든 짧은 여름밤
점차 눅눅함에 잠긴 무더위로 잠못드는
모깃불 지펴논 마당 평상 위 잦은 부채질"
너라는 이유만으로,"내가 너를 사랑하는 이유는 딱 한 가지,
너라는 이유만으로 아름답다
너라는 이유만으로 사랑스럽다
내가 너를 사랑하는 이유는 딱 한 가지,
하늘과 땅 사이 오직 한 사람
네가 바로 너이기 때문"
배낭을 메며,"""당신은 늘 특별했잖아, 당신에겐 좀 더 특별한 감정 배설구가 필요할 뿐이야""
그때 그렇게 시작된 배낭여행이
나만의 방랑벽으로
신앙처럼 자리매김하게 된 동기였다
뼛속 깊숙이 잠복해 있던 그것
그건 내게 산소통 같은, 생각의 충전기 같은
불치병 같은, 역마살이다
""인생이란 쉼 없는 여행길이지, 누구도 내 발길을 막아설 순 없어""
마음에 바람이 불어오지 않을 땐
아무런 생각 없이 한 사나흘쯤 떠도는 거야
길 위에 뭔가를 혹사시키는 거야
엄동에 냉수마찰을 해 봐도
날밤을 꼬박 지새워도
원하는 설계도가 그려지지 않을 땐
그래 그렇게, 바람처럼 길을 나서는 거야
길바닥 도면 위에서
내 맘껏 뒹구는 거야
마냥 누더기가 돼 보는 거야."
껍데기의 고백,"두 손에는 삶을 움켜쥐었다.
오로지 가족 사랑 하나로 버텨내며
자식들 책가방에 큰 꿈을 담아
등굣길마다 희망을 태워주었다.
발이 닳도록 뛰어다니던 계절
굶으며 모은 땀방울은 쌓이고 흩어져
아버지란 이름의 무게에
허기진 어깨 위로 세월이 내려앉고
웃음 뒤엔 늘 말 없는 눈물이 고였다.
자식들 결혼식장 하얀 꽃길에
눈물을 삼키며 손을 놓았고
남는 건 점점 흐릿해지는 시간들
기억 속에서만 또렷한 젊은 날의 나
거울 앞에 선 곰삭은 노인 하나
묻지도 자랑하지도 못한 날들이
주름진 손등 위에 고요히 누웠고
그토록 지키고 싶던 것들은
내 안엔 남지 않고 모두 떠났다.
이제 남은 건 껍데기, 속 빈 껍데기뿐이다."
도시의 멧비둘기,"멧비둘기 한 마리 구슬피 운다.
중저음의 단음이 빌딩 벽에 부딪히며
비탈진 삶을 스미듯 적신다.
깃털의 무게는 새벽보다 무겁고
이어지는 울음엔 아픔의 눈물이 배어
누군가 잊고 간 이름처럼
그리움은 아스팔트 위에 쌓여간다.
빛바랜 포스터마냥
벽에 붙은 희망은 비바람에 떨어지고
사람 없는 벤치 위에서
마음은 자주 벤치 아래로 스며든다.
도시는 항상 물결처럼 흐르지만
그 속에서 아무도 벗어나지 못하고
저 처량한 멧비둘기처럼
슬픈 울음으로만 살아남는다.
떠날 수도 돌아갈 수도 없는 삶
서로가 방향을 묻지 않는 하루
긴 여운을 남기는 울음 하나가
낯선 창문을 조용히 두드린다."
